,Date,Open,High,Low,Close,Adj Close,Volume,Returns,MovingAverage_50,MovingAverage_200,VolumeChange,VolumeMovingAverage_50,VolumeMovingAverage_200,MarketReturns,CAPM,HighLowRange,HighCloseRange,LowCloseRange,Volatility,RSI,Momentum,VolumeMovingAverage_10,PriceLag_1,ReturnLag_1,PriceLag_3,ReturnLag_3,PriceLag_5,ReturnLag_5,Mkt-RF,SMB,HML,RMW,CMA,RF,ADS_Index,UNRATE,"('Adj Close', 'SNAP')","('Adj Close', 'TCEHY')","('Close', 'SNAP')","('Close', 'TCEHY')","('High', 'SNAP')","('High', 'TCEHY')","('Low', 'SNAP')","('Low', 'TCEHY')","('Open', 'SNAP')","('Open', 'TCEHY')","('Volume', 'SNAP')","('Volume', 'TCEHY')"
0,2012-05-18,42.04999923706055,45.0,38.0,38.22999954223633,38.22999954223633,573576400,,,,,,,0.0010434878069211764,,7.0,,,7.0,,,,,,,,,,-0.8,-0.15,0.07,0.16,0.38,0.0,-0.127285,8.2,,5.216263771057129,,5.682000160217285,,5.78000020980835,,5.671999931335449,,5.730000019073486,,355000
1,2012-05-21,36.529998779296875,36.65999984741211,33.0,34.029998779296875,34.029998779296875,168192700,-0.10986138669186518,,,-0.7067649575540416,,,0.0010434878069211764,0.019864491226397163,3.6599998474121094,-1.5699996948242188,5.229999542236328,2.4399998982747397,,,,38.22999954223633,,,,,,1.69,0.55,-1.1,-0.29,-0.63,0.0,-0.16324,8.2,,5.1134443283081055,,5.570000171661377,,5.570000171661377,,5.515999794006348,,5.564000129699707,,590000
2,2012-05-22,32.61000061035156,33.59000015258789,30.940000534057617,31.0,31.0,101786600,-0.0890390504844879,,,-0.3948215350606774,,,0.0010434878069211764,0.019886219080341175,2.6499996185302734,-0.4399986267089844,3.089998245239258,1.7666664123535156,,,,34.029998779296875,-0.10986138669186518,,,,,0.0,-0.85,0.35,-0.11,-0.01,0.0,-0.174997,8.2,,4.957378387451172,,5.400000095367432,,5.473999977111816,,5.357999801635742,,5.473999977111816,,1549500
3,2012-05-23,31.3700008392334,32.5,31.360000610351562,32.0,32.0,73600000,0.032258064516129004,,,-0.2769185727787351,,,0.0010434878069211764,0.020012791140859035,1.1399993896484375,1.5,-0.3600006103515625,0.7599995930989584,,,,31.0,-0.0890390504844879,38.22999954223633,,,,0.26,0.5,-0.23,-0.04,-0.07,0.0,-0.186586,8.2,,4.966558933258057,,5.409999847412109,,5.452000141143799,,5.320000171661377,,5.452000141143799,,131000
4,2012-05-24,32.95000076293945,33.209999084472656,31.770000457763672,33.029998779296875,33.029998779296875,50237200,0.032187461853027344,,,-0.317429347826087,,,0.0010434878069211764,0.020012717467840953,1.4399986267089844,1.2099990844726562,0.22999954223632812,0.9599990844726562,,,,32.0,0.032258064516129004,34.029998779296875,-0.10986138669186518,,,0.16,0.02,0.18,0.36,0.54,0.0,-0.198012,8.2,,5.030821800231934,,5.480000019073486,,5.553999900817871,,5.460000038146973,,5.538000106811523,,156000
5,2012-05-25,32.900001525878906,32.95000076293945,31.110000610351562,31.90999984741211,31.90999984741211,37149800,-0.033908536883954676,,,-0.2605121304531304,,,0.0010434878069211764,0.019943747099072633,1.8400001525878906,-0.07999801635742188,1.9199981689453125,1.226666768391927,,,,33.029998779296875,0.032187461853027344,31.0,-0.0890390504844879,38.22999954223633,,-0.16,0.24,-0.14,0.18,0.13,0.0,-0.209277,8.2,,5.060198783874512,,5.51200008392334,,5.6020002365112305,,5.507999897003174,,5.539999961853027,,119500
6,2012-05-29,31.479999542236328,31.690000534057617,28.649999618530273,28.84000015258789,28.84000015258789,78063400,-0.09620807613614557,,,1.1013141389724845,,,0.0010434878069211764,0.019878738289486164,3.0400009155273438,-0.2199993133544922,3.260000228881836,2.026667277018229,,,,31.90999984741211,-0.033908536883954676,32.0,0.032258064516129004,34.029998779296875,-0.10986138669186518,1.14,0.17,-0.02,-0.37,-0.06,0.0,-0.254703,8.2,,5.082230567932129,,5.535999774932861,,5.573999881744385,,5.510000228881836,,5.51200008392334,,141000
7,2012-05-30,28.700000762939453,29.549999237060547,27.860000610351562,28.190000534057617,28.190000534057617,57267900,-0.022538128123828938,,,-0.2663924451151244,,,0.0010434878069211764,0.019955611981973535,1.6899986267089844,0.7099990844726562,0.9799995422363281,1.126665751139323,,,,28.84000015258789,-0.09620807613614557,33.029998779296875,0.032187461853027344,31.0,-0.0890390504844879,-1.47,-0.3,-0.32,0.62,-0.05,0.0,-0.267118,8.2,,5.021641254425049,,5.46999979019165,,5.5,,5.466000080108643,,5.484000205993652,,122500
8,2012-05-31,28.549999237060547,29.670000076293945,26.829999923706055,29.600000381469727,29.600000381469727,111639200,0.05001773042567437,,,0.9494201812882959,,,0.0010434878069211764,0.02003132313569064,2.8400001525878906,1.4799995422363281,1.3600006103515625,1.8933334350585938,,,,28.190000534057617,-0.022538128123828938,31.90999984741211,-0.033908536883954676,32.0,0.032258064516129004,-0.23,0.2,0.53,-0.15,0.24,0.0,-0.280026,8.2,,5.0400004386901855,,5.489999771118164,,5.51800012588501,,5.438000202178955,,5.460000038146973,,86000
9,2012-06-01,28.889999389648438,29.149999618530273,27.389999389648438,27.719999313354492,27.719999313354492,41855500,-0.06351354877995741,,,-0.6250824083296906,,,0.0010434878069211764,0.0199128546301354,1.760000228881836,-0.4500007629394531,2.210000991821289,1.1733334859212239,,,129336870.0,29.600000381469727,0.05001773042567437,28.84000015258789,-0.09620807613614557,33.029998779296875,0.032187461853027344,-2.6,-0.57,0.06,0.2,0.05,0.0,-0.293431,8.2,,5.003279209136963,,5.449999809265137,,5.48199987411499,,5.322000026702881,,5.322000026702881,,393000
10,2012-06-04,27.200000762939453,27.649999618530273,26.440000534057617,26.899999618530273,26.899999618530273,35230300,-0.029581519305059034,,,-0.15828744131595607,,,0.0010434878069211764,0.019948262289156544,1.2099990844726562,-0.06999969482421875,1.279998779296875,0.8066660563151041,,-11.329999923706055,75502260.0,27.719999313354492,-0.06351354877995741,28.190000534057617,-0.022538128123828938,31.90999984741211,-0.033908536883954676,-0.05,0.12,-0.59,0.33,-0.41,0.0,-0.330283,8.2,,4.975739002227783,,5.420000076293945,,5.432000160217285,,5.368000030517578,,5.383999824523926,,174000
11,2012-06-05,26.700000762939453,27.760000228881836,25.75,25.8700008392334,25.8700008392334,42473400,-0.03828991798897097,,,0.20559291291870907,,,0.0010434878069211764,0.019939175181312073,2.010000228881836,0.8600006103515625,1.1499996185302734,1.3400001525878906,,-8.159997940063477,62930330.0,26.899999618530273,-0.029581519305059034,29.600000381469727,0.05001773042567437,28.84000015258789,-0.09620807613614557,0.68,0.26,0.17,-0.63,-0.03,0.0,-0.340873,8.2,,4.955542087554932,,5.3979997634887695,,5.441999912261963,,5.386000156402588,,5.394000053405762,,205000
